user_id,year,game_id,recommend,sentiment_analysis
76561197970982479,2011,1250,True,2
76561197970982479,2011,22200,True,1
76561197970982479,2011,43110,True,2
js41637,2014,251610,True,2
js41637,2013,227300,True,2
js41637,2013,239030,True,2
evcentric,0,248820,True,0
evcentric,2015,370360,True,1
evcentric,2014,237930,True,1
evcentric,2014,263360,True,1
evcentric,2014,107200,True,2
evcentric,2014,224500,True,2
doctr,2013,250320,True,2
doctr,2012,20920,True,2
doctr,2012,204100,True,2
doctr,2014,224600,True,2
doctr,2012,207610,True,2
doctr,2012,108710,True,2
maplemage,2014,211420,True,1
maplemage,2013,211820,True,2
maplemage,2014,730,True,1
maplemage,2013,204300,True,2
Wackky,2014,249130,True,1
Wackky,2012,207610,True,0
Wackky,2012,550,True,2
Wackky,2012,65800,True,1
Wackky,2012,220,True,1
76561198079601835,0,730,True,1
MeaTCompany,0,730,True,1
76561198089393905,2015,72850,True,0
76561198089393905,2014,440,True,1
76561198156664158,0,252950,True,2
76561198077246154,0,440,True,1
76561198077246154,2014,304930,True,1
WeiEDKrSat,2013,4000,True,1
thequeenpanda,2012,42910,True,1
death-hunter,2015,232090,True,2
death-hunter,2015,1250,True,2
death-hunter,2014,4000,True,2
DJKamBer,2014,304930,True,2
DJKamBer,2013,570,True,2
DJKamBer,2015,218620,True,2
DJKamBer,2013,224260,True,2
DJKamBer,2013,1250,True,0
DJKamBer,2012,440,True,1
Rainbow-Dashie,2015,730,True,2
Rainbow-Dashie,2014,440,True,1
Rainbow-Dashie,2014,49520,True,1
76561198043472122,2014,33440,False,1
MarbleShrine,2015,220200,True,2
PPanther,2014,211820,True,2
devvonst,2014,440,True,2
devvonst,2014,218740,True,1
devvonst,2015,550,True,2
Fr0stedLine,0,220,True,1
starkillershadow553,2015,238090,True,1
starkillershadow553,0,242130,True,0
starkillershadow553,2014,277430,True,2
76561198058373434,2015,8870,True,1
76561198048353577,2015,368230,True,2
76561198048353577,0,4000,True,1
76561198048353577,2013,33930,True,2
76561198066046412,2015,359320,False,2
76561198066046412,2015,219640,True,2
tru_mu_,2015,287980,True,2
76561198070565427,0,218620,True,1
76561198070565427,2015,208090,True,1
76561198070565427,2014,242700,True,1
76561198070565427,2014,570,False,1
76561198070565427,2014,224260,True,1
SavageEeEe,2015,221100,True,2
76561198076909484,2014,570,True,1
KanadeTheNeko,2014,331470,True,2
KanadeTheNeko,2014,4000,True,1
Leaf_Light_Moscow,0,323370,True,2
GoAwayZach,2014,304930,True,2
76561198054540475,2015,12210,True,1
76561198054540475,2014,265210,True,1
76561198054540475,2014,48700,True,2
76561198085547365,0,238460,True,1
76561198085547365,0,34900,True,2
76561198061252210,2015,730,True,2
OfficialShroomsy,2013,113200,True,2
boydeer,2014,440,True,1
boydeer,2015,383080,False,1
VVillis,2015,213670,True,2
76561198083226897,2015,105600,True,1
76561198075277292,2015,730,True,0
76561198075277292,2015,570,True,2
76561198028895010,2013,231180,True,2
76561198028895010,2012,620,True,2
76561198170198366,0,271290,True,2
diego9031,0,4000,True,1
diego9031,0,317360,True,1
diego9031,2015,223710,True,1
diego9031,2015,299360,True,1
diego9031,2015,322330,True,1
diego9031,2015,1250,True,2
diego9031,2015,12100,True,1
diego9031,2015,204360,True,1
diego9031,2013,440,True,1
diego9031,2013,224260,True,1
jarrodtrim,2012,440,True,2
76561198078738103,0,304930,True,2
76561198067936203,2015,440,True,2
76561198079770573,2015,1840,True,1
76561198087586464,2013,440,True,2
Derp-e,2015,440,True,2
76561198070194565,2014,233250,True,1
76561198070194565,0,449140,True,1
76561198070194565,0,368730,True,1
76561198070194565,0,246280,True,1
76561198070194565,0,427270,True,2
76561198070194565,0,397100,True,1
76561198070194565,2015,248570,True,1
Rivtex,2015,298630,True,1
UTNerd24,2014,244210,True,2
UTNerd24,2015,440,True,1
UTNerd24,2015,376920,True,2
UTNerd24,2015,257750,True,1
UTNerd24,2014,221910,True,1
UTNerd24,2013,2280,True,1
sandwiches1,2015,417860,False,1
76561198138053270,2014,218620,True,2
lucaswerg,2014,218620,True,2
lucaswerg,2014,222880,True,1
Life-Of-Blu,2015,377160,True,2
Life-Of-Blu,2013,211820,True,2
CaptianAutismo,2015,252490,True,0
76561198075895633,2014,440,True,2
TheDropix101,0,242920,True,2
kube134,2014,251990,True,1
iamthekingofbrowntown,2015,344760,False,0
iamthekingofbrowntown,2015,252950,True,1
iamthekingofbrowntown,0,236430,True,2
iamthekingofbrowntown,2015,399730,True,2
MainScout,0,550,True,1
yookobz,2015,377160,True,2
yookobz,2013,219150,True,2
Posiblydead,2014,277430,True,2
Posiblydead,2014,239820,True,2
Posiblydead,2012,17410,True,2
Mossy_Gaming,2015,440,True,2
76561198102421718,2015,270550,True,2
76561198102421718,2015,274940,True,2
76561198102421718,2015,333930,True,2
76561198087407319,2014,440,True,1
76561198056741844,2014,730,True,1
sad-commie,0,294100,True,0
sad-commie,2014,212070,True,0
sad-commie,2014,264140,True,1
76561198030567998,2014,332800,True,1
76561198030567998,2015,319630,True,2
76561198030567998,2015,6020,True,0
76561198030567998,2015,55230,True,2
76561198030567998,2014,32430,True,2
76561198010674657,0,377160,False,2
76561198010674657,0,440,True,0
Coldaniel,2015,35450,True,2
Coldaniel,2014,440,True,1
Coldaniel,2015,236390,True,2
therealmorty,2015,351570,True,1
therealmorty,2015,212680,True,0
Berserklejerker,2015,391540,True,2
76561198061730629,2014,550,True,0
YoHuNz,2014,440,True,1
YoHuNz,2014,570,True,1
possessioniskey,2015,72850,True,2
possessioniskey,2015,440,True,2
possessioniskey,2014,113400,True,2
76561198093112529,2014,440,True,1
76561198060447950,2015,200510,True,1
whiteofwolfing,2015,730,True,2
sergarino,2015,383080,True,1
76561198081962345,0,200210,True,1
76561198081962345,2014,1250,True,2
76561198073210139,0,304050,True,2
Nozomikat,2015,265610,True,1
Nozomikat,2014,264200,True,1
Nozomikat,2015,417860,True,1
Nozomikat,2015,333600,True,2
Nozomikat,2014,213670,True,2
Nozomikat,2013,91310,True,2
Nozomikat,0,437220,False,0
Nozomikat,2013,210770,True,2
xfluttersx,2015,351640,True,2
xfluttersx,0,202530,False,2
xfluttersx,2012,105600,True,2
xfluttersx,2014,440,True,2
xfluttersx,2013,47870,True,2
xfluttersx,2015,383080,True,1
xfluttersx,2012,410,True,2
76561198056290589,2014,730,True,2
ii_voltage_ii,2014,253710,False,2
ii_voltage_ii,2015,339280,True,2
ii_voltage_ii,2014,271290,True,2
ii_voltage_ii,2013,203290,True,2
76561198097762318,2015,440,True,1
76561198097762318,2014,233150,True,1
Hirukaz,2013,550,True,0
StelerForYou,2015,730,True,2
StelerForYou,2013,211820,True,2
76561198183396245,2015,440,True,2
Xx-Woods,0,346330,False,1
Xx-Woods,2015,224260,True,2
Xx-Woods,2014,317360,True,2
Xx-Woods,2014,295550,True,1
Xx-Woods,2014,250180,True,2
Xx-Woods,2014,227940,True,0
Xx-Woods,2014,17520,True,1
Xx-Woods,2014,113420,True,1
